2025-02-26 18:55:08 | [INFO] | GET /page.html -> 200
2025-02-26 18:55:08 | [INFO] | GET /style/xtk3kmd.js -> 200
2025-02-26 18:55:08 | [INFO] | GET /style/218.css -> 200
2025-02-26 18:55:08 | [INFO] | GET /style/img-halftone.png -> 200
2025-02-26 18:55:08 | [INFO] | GET /style/img-lg-vert-border.png -> 200
2025-02-26 18:55:08 | [INFO] | GET /style/img-lg-horiz-border.png -> 200
2025-02-26 18:55:08 | [INFO] | GET /style/img-sprite.png -> 200
2025-02-26 18:55:08 | [INFO] | GET /style/img-bottle.png -> 200
2025-02-26 18:55:08 | [INFO] | GET /style/img-look-right.png -> 200
2025-02-26 18:55:08 | [INFO] | GET /style/img-lookup.png -> 200
2025-02-26 18:55:08 | [INFO] | GET /style/img-pointer-guy.png -> 200
2025-02-26 19:00:52 | [INFO] | GET /page.html -> 200
2025-02-26 19:00:52 | [INFO] | GET /style/218.css -> 200
2025-02-26 19:00:52 | [INFO] | GET /style/xtk3kmd.js -> 200
2025-02-26 19:00:52 | [INFO] | GET /style/img-halftone.png -> 200
2025-02-26 19:00:52 | [INFO] | GET /style/img-lg-vert-border.png -> 200
2025-02-26 19:00:52 | [INFO] | GET /style/img-lg-horiz-border.png -> 200
2025-02-26 19:00:52 | [INFO] | GET /style/img-sprite.png -> 200
2025-02-26 19:00:52 | [INFO] | GET /style/img-bottle.png -> 200
2025-02-26 19:00:52 | [INFO] | GET /style/img-look-right.png -> 200
2025-02-26 19:00:52 | [INFO] | GET /style/img-lookup.png -> 200
2025-02-26 19:00:52 | [INFO] | GET /style/img-pointer-guy.png -> 200
2025-02-26 19:00:56 | [INFO] | GET /style/218.css -> 200
2025-02-26 19:01:05 | [INFO] | GET /style/218.css -> 200
